sequence_id,sample_id,reenactment_id,sequence_timestamp,set_id,participant_id,level_id,emoji_id,camera_index,perspective,image_sequence_path,timestep,frame_timestamp,frame_path,true_class_id,true_class,predicted_class_id,predicted_class,true_class_probability,predicted_class_probability,correct_at_timestep,correct_final_prediction,probability_anger,probability_disgust,probability_fear,probability_happiness,probability_neutral,probability_sadness,probability_surprise
1700479007738-2-1-1-5-5-0,1700479007738-2-1-1-5-5-0-01,1700479007738-2-1-1-5-5,1700479007738,2,1,1,5,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479007738-2-1-1-5-5-0,1,1700479007200,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479007738-2-1-1-5-5-0/1700479007200-2-1-1-5-5-0.jpg,5,Sadness,5,Sadness,0.40613312,0.40613312,True,True,0.121863045,0.17245479,0.06485754,0.043519054,0.15043089,0.40613312,0.04074155
1700479007738-2-1-1-5-5-1,1700479007738-2-1-1-5-5-1-01,1700479007738-2-1-1-5-5,1700479007738,2,1,1,5,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479007738-2-1-1-5-5-1,1,1700479007200,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479007738-2-1-1-5-5-1/1700479007200-2-1-1-5-5-1.jpg,5,Sadness,1,Disgust,0.32030767,0.40554598,False,True,0.08806417,0.40554598,0.08793511,0.034307245,0.031629372,0.32030767,0.03221052
1700479015441-2-1-1-8-3-0,1700479015441-2-1-1-8-3-0-01,1700479015441-2-1-1-8-3,1700479015441,2,1,1,8,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479015441-2-1-1-8-3-0,1,1700479014761,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479015441-2-1-1-8-3-0/1700479014761-2-1-1-8-3-0.jpg,3,Happiness,4,Neutral,0.05485728,0.49067268,False,True,0.1320586,0.104283646,0.07243723,0.05485728,0.49067268,0.09928216,0.04640835
1700479015441-2-1-1-8-3-1,1700479015441-2-1-1-8-3-1-01,1700479015441-2-1-1-8-3,1700479015441,2,1,1,8,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479015441-2-1-1-8-3-1,1,1700479014761,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479015441-2-1-1-8-3-1/1700479014761-2-1-1-8-3-1.jpg,3,Happiness,4,Neutral,0.06711618,0.5066266,False,True,0.12752049,0.087858915,0.072064355,0.06711618,0.5066266,0.090258434,0.048554994
1700479105264-2-1-2-0-4-0,1700479105264-2-1-2-0-4-0-01,1700479105264-2-1-2-0-4,1700479105264,2,1,2,0,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479105264-2-1-2-0-4-0,1,1700479104288,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479105264-2-1-2-0-4-0/1700479104288-2-1-2-0-4-0.jpg,4,Neutral,2,Fear,0.030845372,0.7483657,False,True,0.016572237,0.061246853,0.7483657,0.0365145,0.030845372,0.018818298,0.0876369
1700479105264-2-1-2-0-4-1,1700479105264-2-1-2-0-4-1-01,1700479105264-2-1-2-0-4,1700479105264,2,1,2,0,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479105264-2-1-2-0-4-1,1,1700479104288,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479105264-2-1-2-0-4-1/1700479104288-2-1-2-0-4-1.jpg,4,Neutral,2,Fear,0.067206204,0.55878466,False,True,0.04417792,0.12728047,0.55878466,0.06845519,0.067206204,0.040865142,0.093230404
1700479106931-2-1-2-1-1-0,1700479106931-2-1-2-1-1-0-01,1700479106931-2-1-2-1-1,1700479106931,2,1,2,1,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479106931-2-1-2-1-1-0,1,1700479105970,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479106931-2-1-2-1-1-0/1700479105970-2-1-2-1-1-0.jpg,1,Disgust,4,Neutral,0.09441349,0.29292563,False,True,0.1849512,0.09441349,0.105327874,0.19874595,0.29292563,0.078599356,0.04503651
1700479106931-2-1-2-1-1-1,1700479106931-2-1-2-1-1-1-01,1700479106931-2-1-2-1-1,1700479106931,2,1,2,1,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479106931-2-1-2-1-1-1,1,1700479105970,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479106931-2-1-2-1-1-1/1700479105970-2-1-2-1-1-1.jpg,1,Disgust,4,Neutral,0.08886913,0.391955,False,False,0.16097759,0.08886913,0.065686345,0.05662461,0.391955,0.20030794,0.035579443
1700479111705-2-1-2-3-2-0,1700479111705-2-1-2-3-2-0-01,1700479111705-2-1-2-3-2,1700479111705,2,1,2,3,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479111705-2-1-2-3-2-0,1,1700479110861,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479111705-2-1-2-3-2-0/1700479110861-2-1-2-3-2-0.jpg,2,Fear,2,Fear,0.8644217,0.8644217,True,True,0.0055343118,0.02180428,0.8644217,0.020128561,0.013517994,0.0071487036,0.067444324
1700479111705-2-1-2-3-2-1,1700479111705-2-1-2-3-2-1-01,1700479111705-2-1-2-3-2,1700479111705,2,1,2,3,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479111705-2-1-2-3-2-1,1,1700479110861,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479111705-2-1-2-3-2-1/1700479110861-2-1-2-3-2-1.jpg,2,Fear,2,Fear,0.8333815,0.8333815,True,True,0.008005342,0.029859897,0.8333815,0.026410503,0.01645687,0.009385866,0.07650006
1700479113933-2-1-2-4-1-0,1700479113933-2-1-2-4-1-0-01,1700479113933-2-1-2-4-1,1700479113933,2,1,2,4,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479113933-2-1-2-4-1-0,1,1700479113366,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479113933-2-1-2-4-1-0/1700479113366-2-1-2-4-1-0.jpg,1,Disgust,1,Disgust,0.5379573,0.5379573,True,True,0.046145834,0.5379573,0.2695922,0.040668525,0.022073122,0.037161306,0.046401665
1700479113933-2-1-2-4-1-1,1700479113933-2-1-2-4-1-1-01,1700479113933-2-1-2-4-1,1700479113933,2,1,2,4,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479113933-2-1-2-4-1-1,1,1700479113366,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479113933-2-1-2-4-1-1/1700479113366-2-1-2-4-1-1.jpg,1,Disgust,1,Disgust,0.33056507,0.33056507,True,True,0.119634084,0.33056507,0.23506676,0.0651376,0.041332833,0.06755912,0.14070451
1700479117593-2-1-2-5-1-0,1700479117593-2-1-2-5-1-0-01,1700479117593-2-1-2-5-1,1700479117593,2,1,2,5,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479117593-2-1-2-5-1-0,1,1700479116632,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479117593-2-1-2-5-1-0/1700479116632-2-1-2-5-1-0.jpg,1,Disgust,1,Disgust,0.7764406,0.7764406,True,True,0.061192144,0.7764406,0.0570648,0.016316228,0.009437822,0.03808814,0.04146031
1700479117593-2-1-2-5-1-1,1700479117593-2-1-2-5-1-1-01,1700479117593-2-1-2-5-1,1700479117593,2,1,2,5,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479117593-2-1-2-5-1-1,1,1700479116632,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479117593-2-1-2-5-1-1/1700479116632-2-1-2-5-1-1.jpg,1,Disgust,6,Surprise,0.07415833,0.6198387,False,True,0.03618333,0.07415833,0.16915424,0.035280533,0.031047646,0.034337167,0.6198387
1700479119890-2-1-2-6-2-0,1700479119890-2-1-2-6-2-0-01,1700479119890-2-1-2-6-2,1700479119890,2,1,2,6,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479119890-2-1-2-6-2-0,1,1700479118917,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479119890-2-1-2-6-2-0/1700479118917-2-1-2-6-2-0.jpg,2,Fear,6,Surprise,0.04396159,0.9369809,False,True,0.0023213788,0.0044481806,0.04396159,0.002581223,0.004930239,0.0047765016,0.9369809
1700479119890-2-1-2-6-2-1,1700479119890-2-1-2-6-2-1-01,1700479119890-2-1-2-6-2,1700479119890,2,1,2,6,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479119890-2-1-2-6-2-1,1,1700479118917,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479119890-2-1-2-6-2-1/1700479118917-2-1-2-6-2-1.jpg,2,Fear,2,Fear,0.5254708,0.5254708,True,True,0.013355836,0.05043729,0.5254708,0.0232439,0.017149853,0.014622324,0.35571998
1700479129747-2-1-2-10-2-0,1700479129747-2-1-2-10-2-0-01,1700479129747-2-1-2-10-2,1700479129747,2,1,2,10,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479129747-2-1-2-10-2-0,1,1700479128789,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479129747-2-1-2-10-2-0/1700479128789-2-1-2-10-2-0.jpg,2,Fear,3,Happiness,0.27948156,0.47874096,False,True,0.027865605,0.07613276,0.27948156,0.47874096,0.037289552,0.018668983,0.08182055
1700479129747-2-1-2-10-2-1,1700479129747-2-1-2-10-2-1-01,1700479129747-2-1-2-10-2,1700479129747,2,1,2,10,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479129747-2-1-2-10-2-1,1,1700479128789,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479129747-2-1-2-10-2-1/1700479128789-2-1-2-10-2-1.jpg,2,Fear,2,Fear,0.5392944,0.5392944,True,True,0.037362974,0.15995954,0.5392944,0.09660447,0.035422,0.031537488,0.099819094
1700479131977-2-1-2-11-4-0,1700479131977-2-1-2-11-4-0-01,1700479131977-2-1-2-11-4,1700479131977,2,1,2,11,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479131977-2-1-2-11-4-0,1,1700479131016,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479131977-2-1-2-11-4-0/1700479131016-2-1-2-11-4-0.jpg,4,Neutral,4,Neutral,0.40833765,0.40833765,True,True,0.12801954,0.12173921,0.123516686,0.07507713,0.40833765,0.08360037,0.059709433
1700479131977-2-1-2-11-4-1,1700479131977-2-1-2-11-4-1-01,1700479131977-2-1-2-11-4,1700479131977,2,1,2,11,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479131977-2-1-2-11-4-1,1,1700479131016,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479131977-2-1-2-11-4-1/1700479131016-2-1-2-11-4-1.jpg,4,Neutral,4,Neutral,0.49236917,0.49236917,True,True,0.13469523,0.10479212,0.06381044,0.058563508,0.49236917,0.093220025,0.05254951
1700479238544-2-1-3-0-4-0,1700479238544-2-1-3-0-4-0-01,1700479238544-2-1-3-0-4,1700479238544,2,1,3,0,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479238544-2-1-3-0-4-0,1,1700479237574,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479238544-2-1-3-0-4-0/1700479237574-2-1-3-0-4-0.jpg,4,Neutral,2,Fear,0.087131396,0.546932,False,True,0.04776594,0.12621161,0.546932,0.053193804,0.087131396,0.044934686,0.09383048
1700479238544-2-1-3-0-4-1,1700479238544-2-1-3-0-4-1-01,1700479238544-2-1-3-0-4,1700479238544,2,1,3,0,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479238544-2-1-3-0-4-1,1,1700479237574,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479238544-2-1-3-0-4-1/1700479237574-2-1-3-0-4-1.jpg,4,Neutral,2,Fear,0.041395914,0.67707646,False,True,0.027042601,0.10710707,0.67707646,0.04383871,0.041395914,0.02882646,0.07471277
1700479240547-2-1-3-1-1-0,1700479240547-2-1-3-1-1-0-01,1700479240547-2-1-3-1-1,1700479240547,2,1,3,1,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479240547-2-1-3-1-1-0,1,1700479239578,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479240547-2-1-3-1-1-0/1700479239578-2-1-3-1-1-0.jpg,1,Disgust,4,Neutral,0.107514404,0.4752048,False,True,0.14079814,0.107514404,0.069250494,0.06179865,0.4752048,0.08894958,0.056484003
1700479240547-2-1-3-1-1-1,1700479240547-2-1-3-1-1-1-01,1700479240547-2-1-3-1-1,1700479240547,2,1,3,1,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479240547-2-1-3-1-1-1,1,1700479239578,/workspace/datasets/emoji-hero-vr-db-di/test_set/Disgust/1700479240547-2-1-3-1-1-1/1700479239578-2-1-3-1-1-1.jpg,1,Disgust,4,Neutral,0.10782113,0.45757684,False,False,0.1427143,0.10782113,0.07705629,0.06415769,0.45757684,0.09254768,0.05812598
1700479243878-2-1-3-3-6-0,1700479243878-2-1-3-3-6-0-01,1700479243878-2-1-3-3-6,1700479243878,2,1,3,3,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Surprise/1700479243878-2-1-3-3-6-0,1,1700479242917,/workspace/datasets/emoji-hero-vr-db-di/test_set/Surprise/1700479243878-2-1-3-3-6-0/1700479242917-2-1-3-3-6-0.jpg,6,Surprise,5,Sadness,0.018807678,0.71154803,False,True,0.12030599,0.09039864,0.016454574,0.015940752,0.02654427,0.71154803,0.018807678
1700479243878-2-1-3-3-6-1,1700479243878-2-1-3-3-6-1-01,1700479243878-2-1-3-3-6,1700479243878,2,1,3,3,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Surprise/1700479243878-2-1-3-3-6-1,1,1700479242917,/workspace/datasets/emoji-hero-vr-db-di/test_set/Surprise/1700479243878-2-1-3-3-6-1/1700479242917-2-1-3-3-6-1.jpg,6,Surprise,1,Disgust,0.03141841,0.68237287,False,True,0.07099601,0.68237287,0.08970498,0.029860731,0.018718876,0.0769281,0.03141841
1700479245714-2-1-3-4-3-0,1700479245714-2-1-3-4-3-0-01,1700479245714-2-1-3-4-3,1700479245714,2,1,3,4,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479245714-2-1-3-4-3-0,1,1700479244784,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479245714-2-1-3-4-3-0/1700479244784-2-1-3-4-3-0.jpg,3,Happiness,2,Fear,0.03936501,0.73284346,False,True,0.019444479,0.062886536,0.73284346,0.03936501,0.038841292,0.02294411,0.083675094
1700479245714-2-1-3-4-3-1,1700479245714-2-1-3-4-3-1-01,1700479245714-2-1-3-4-3,1700479245714,2,1,3,4,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479245714-2-1-3-4-3-1,1,1700479244784,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479245714-2-1-3-4-3-1/1700479244784-2-1-3-4-3-1.jpg,3,Happiness,2,Fear,0.060679786,0.5872987,False,True,0.040760126,0.1137015,0.5872987,0.060679786,0.068744466,0.03814136,0.090674035
1700479248151-2-1-3-5-2-0,1700479248151-2-1-3-5-2-0-01,1700479248151-2-1-3-5-2,1700479248151,2,1,3,5,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479248151-2-1-3-5-2-0,1,1700479247178,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479248151-2-1-3-5-2-0/1700479247178-2-1-3-5-2-0.jpg,2,Fear,2,Fear,0.53860515,0.53860515,True,True,0.045717426,0.13798809,0.53860515,0.06316544,0.07726374,0.041461237,0.095799
1700479248151-2-1-3-5-2-1,1700479248151-2-1-3-5-2-1-01,1700479248151-2-1-3-5-2,1700479248151,2,1,3,5,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479248151-2-1-3-5-2-1,1,1700479247178,/workspace/datasets/emoji-hero-vr-db-di/test_set/Fear/1700479248151-2-1-3-5-2-1/1700479247178-2-1-3-5-2-1.jpg,2,Fear,2,Fear,0.6330855,0.6330855,True,True,0.032282338,0.10596246,0.6330855,0.062680446,0.050333828,0.032263063,0.083392374
1700479250572-2-1-3-6-5-0,1700479250572-2-1-3-6-5-0-01,1700479250572-2-1-3-6-5,1700479250572,2,1,3,6,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479250572-2-1-3-6-5-0,1,1700479249613,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479250572-2-1-3-6-5-0/1700479249613-2-1-3-6-5-0.jpg,5,Sadness,2,Fear,0.063574664,0.38514918,False,True,0.074443944,0.20890725,0.38514918,0.062094327,0.12890613,0.063574664,0.0769245
1700479250572-2-1-3-6-5-1,1700479250572-2-1-3-6-5-1-01,1700479250572-2-1-3-6-5,1700479250572,2,1,3,6,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479250572-2-1-3-6-5-1,1,1700479249613,/workspace/datasets/emoji-hero-vr-db-di/test_set/Sadness/1700479250572-2-1-3-6-5-1/1700479249613-2-1-3-6-5-1.jpg,5,Sadness,1,Disgust,0.20279677,0.42114678,False,False,0.086576626,0.42114678,0.11304131,0.044828936,0.09476755,0.20279677,0.03684197
1700479253441-2-1-3-8-0-0,1700479253441-2-1-3-8-0-0-01,1700479253441-2-1-3-8-0,1700479253441,2,1,3,8,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479253441-2-1-3-8-0-0,1,1700479252816,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479253441-2-1-3-8-0-0/1700479252816-2-1-3-8-0-0.jpg,0,Anger,4,Neutral,0.12222415,0.3991791,False,False,0.12222415,0.1579955,0.117490746,0.048764274,0.3991791,0.098888226,0.055458084
1700479253441-2-1-3-8-0-1,1700479253441-2-1-3-8-0-1-01,1700479253441-2-1-3-8-0,1700479253441,2,1,3,8,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479253441-2-1-3-8-0-1,1,1700479252816,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479253441-2-1-3-8-0-1/1700479252816-2-1-3-8-0-1.jpg,0,Anger,4,Neutral,0.11741559,0.39589193,False,False,0.11741559,0.16895403,0.09646198,0.047538053,0.39589193,0.12939407,0.044344418
1700479258342-2-1-3-10-0-0,1700479258342-2-1-3-10-0-0-01,1700479258342-2-1-3-10-0,1700479258342,2,1,3,10,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479258342-2-1-3-10-0-0,1,1700479257369,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479258342-2-1-3-10-0-0/1700479257369-2-1-3-10-0-0.jpg,0,Anger,2,Fear,0.016485801,0.72675914,False,False,0.016485801,0.05651365,0.72675914,0.0643666,0.031519093,0.017299263,0.087056406
1700479258342-2-1-3-10-0-1,1700479258342-2-1-3-10-0-1-01,1700479258342-2-1-3-10-0,1700479258342,2,1,3,10,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479258342-2-1-3-10-0-1,1,1700479257369,/workspace/datasets/emoji-hero-vr-db-di/test_set/Anger/1700479258342-2-1-3-10-0-1/1700479257369-2-1-3-10-0-1.jpg,0,Anger,2,Fear,0.019648712,0.71592486,False,False,0.019648712,0.06844091,0.71592486,0.05456791,0.031664353,0.019891996,0.08986134
1700479260806-2-1-3-11-3-0,1700479260806-2-1-3-11-3-0-01,1700479260806-2-1-3-11-3,1700479260806,2,1,3,11,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479260806-2-1-3-11-3-0,1,1700479259836,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479260806-2-1-3-11-3-0/1700479259836-2-1-3-11-3-0.jpg,3,Happiness,3,Happiness,0.27543467,0.27543467,True,True,0.10653841,0.16733305,0.21430291,0.27543467,0.13506149,0.053001612,0.048327874
1700479260806-2-1-3-11-3-1,1700479260806-2-1-3-11-3-1-01,1700479260806-2-1-3-11-3,1700479260806,2,1,3,11,1,Side,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479260806-2-1-3-11-3-1,1,1700479259836,/workspace/datasets/emoji-hero-vr-db-di/test_set/Happiness/1700479260806-2-1-3-11-3-1/1700479259836-2-1-3-11-3-1.jpg,3,Happiness,3,Happiness,0.8536559,0.8536559,True,True,0.022310715,0.02728778,0.031811327,0.8536559,0.03841944,0.012789229,0.013725642
1700479262241-2-1-3-12-4-0,1700479262241-2-1-3-12-4-0-01,1700479262241-2-1-3-12-4,1700479262241,2,1,3,12,0,Central,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479262241-2-1-3-12-4-0,1,1700479261281,/workspace/datasets/emoji-hero-vr-db-di/test_set/Neutral/1700479262241-2-1-3-12-4-0/1700479261281-2-1-3-12-4-0.jpg,4,Neutral,3,Happiness,0.025050867,0.8878296,False,True,0.02089999,0.028889654,0.018165099,0.8878296,0.025050867,0.014051905,0.0051128715
