reenactment_id,split,sequence_timestamp,participant_id,level_id,emoji_id,true_label_id,true_label,image,target_emotion,model_probability,label_1,label_2,label_3,success_labeler_1,success_labeler_2,success_labeler_3,agreement,include_in_dataset
1700486203970-1-2-3-7-5,validation,1700486203970,2,3,7,5,Sadness,1700486203970.png,Sadness,0.3919,Sadness,Sadness,Sadness,1,1,1,3,1
1700486206530-1-2-3-8-0,validation,1700486206530,2,3,8,0,Anger,1700486206530.png,Anger,0.4308,Sadness,Anger,Anger,0,1,1,2,1
1700486210764-1-2-3-10-0,validation,1700486210764,2,3,10,0,Anger,1700486210764.png,Anger,0.5333,Anger,Anger,Anger,1,1,1,3,1
1700486216892-1-2-3-13-6,validation,1700486216892,2,3,13,6,Surprise,1700486216892.png,Surprise,0.8797,Surprise,Surprise,Surprise,1,1,1,3,1
1700486217864-1-2-3-14-4,validation,1700486217864,2,3,14,4,Neutral,1700486217864.png,Neutral,0.4506,Neutral,Neutral,Neutral,1,1,1,3,1
1700486220495-1-2-3-15-5,validation,1700486220495,2,3,15,5,Sadness,1700486220495.png,Sadness,0.2596,Sadness,Sadness,Sadness,1,1,1,3,1
1700486222597-1-2-3-16-2,validation,1700486222597,2,3,16,2,Fear,1700486222597.png,Fear,0.6459,Surprise,Fear,Fear,0,1,1,2,1
1700486224796-1-2-3-17-3,validation,1700486224796,2,3,17,3,Happiness,1700486224796.png,Happiness,0.9208,Happiness,Happiness,Happiness,1,1,1,3,1
1700486226762-1-2-3-18-1,validation,1700486226762,2,3,18,1,Disgust,1700486226762.png,Disgust,0.9139,Disgust,Disgust,Disgust,1,1,1,3,1
1700486228292-1-2-3-19-6,validation,1700486228292,2,3,19,6,Surprise,1700486228292.png,Surprise,0.8788,Surprise,Surprise,Surprise,1,1,1,3,1
1700486230297-1-2-3-20-2,validation,1700486230297,2,3,20,2,Fear,1700486230297.png,Fear,0.5266,Surprise,Fear,Fear,0,1,1,2,1
1700486361862-1-2-4-0-1,validation,1700486361862,2,4,0,1,Disgust,1700486361862.png,Disgust,0.8865,Disgust,Disgust,Disgust,1,1,1,3,1
1700486364234-1-2-4-1-5,validation,1700486364234,2,4,1,5,Sadness,1700486364234.png,Sadness,0.3466,Sadness,Sadness,Sadness,1,1,1,3,1
1700486365073-1-2-4-2-4,validation,1700486365073,2,4,2,4,Neutral,1700486365073.png,Neutral,0.4937,Neutral,Neutral,Neutral,1,1,1,3,1
1700486369305-1-2-4-4-4,validation,1700486369305,2,4,4,4,Neutral,1700486369305.png,Neutral,0.4811,Neutral,Neutral,Neutral,1,1,1,3,1
1700486370761-1-2-4-5-4,validation,1700486370761,2,4,5,4,Neutral,1700486370761.png,Neutral,0.5267,Neutral,Neutral,Neutral,1,1,1,3,1
1700486372493-1-2-4-6-3,validation,1700486372493,2,4,6,3,Happiness,1700486372493.png,Happiness,0.9825,Happiness,Happiness,Happiness,1,1,1,3,1
1700486374506-1-2-4-7-0,validation,1700486374506,2,4,7,0,Anger,1700486374506.png,Anger,0.4761,Anger,Anger,Anger,1,1,1,3,1
1700486376407-1-2-4-8-5,validation,1700486376407,2,4,8,5,Sadness,1700486376407.png,Sadness,0.2843,Sadness,Sadness,Sadness,1,1,1,3,1
1700486377855-1-2-4-9-2,validation,1700486377855,2,4,9,2,Fear,1700486377855.png,Fear,0.6041,Surprise,Fear,Fear,0,1,1,2,1
1700486381822-1-2-4-11-3,validation,1700486381822,2,4,11,3,Happiness,1700486381822.png,Happiness,0.9057,Happiness,Happiness,Happiness,1,1,1,3,1
1700486383298-1-2-4-12-1,validation,1700486383298,2,4,12,1,Disgust,1700486383298.png,Disgust,0.2657,Fear,Disgust,Disgust,0,1,1,2,1
1700486385344-1-2-4-13-3,validation,1700486385344,2,4,13,3,Happiness,1700486385344.png,Happiness,0.9747,Happiness,Happiness,Happiness,1,1,1,3,1
1700486387051-1-2-4-14-0,validation,1700486387051,2,4,14,0,Anger,1700486387051.png,Anger,0.4898,Anger,Sadness,Anger,1,0,1,2,1
1700486388492-1-2-4-15-1,validation,1700486388492,2,4,15,1,Disgust,1700486388492.png,Disgust,0.8712,Disgust,Disgust,Disgust,1,1,1,3,1
1700486389926-1-2-4-16-2,validation,1700486389926,2,4,16,2,Fear,1700486389926.png,Fear,0.332,Surprise,Fear,Fear,0,1,1,2,1
1700486391891-1-2-4-17-5,validation,1700486391891,2,4,17,5,Sadness,1700486391891.png,Sadness,0.3052,Sadness,Sadness,Sadness,1,1,1,3,1
1700486396928-1-2-4-20-5,validation,1700486396928,2,4,20,5,Sadness,1700486396928.png,Sadness,0.2976,Sadness,Sadness,Sadness,1,1,1,3,1
1700486399431-1-2-4-21-6,validation,1700486399431,2,4,21,6,Surprise,1700486399431.png,Surprise,0.9027,Surprise,Surprise,Surprise,1,1,1,3,1
1700486401119-1-2-4-22-0,validation,1700486401119,2,4,22,0,Anger,1700486401119.png,Anger,0.4455,Anger,Anger,Anger,1,1,1,3,1
1700486402581-1-2-4-23-2,validation,1700486402581,2,4,23,2,Fear,1700486402581.png,Fear,0.6695,Surprise,Fear,Fear,0,1,1,2,1
1700486404513-1-2-4-24-3,validation,1700486404513,2,4,24,3,Happiness,1700486404513.png,Happiness,0.9747,Happiness,Happiness,Happiness,1,1,1,3,1
1700486409959-1-2-4-27-6,validation,1700486409959,2,4,27,6,Surprise,1700486409959.png,Surprise,0.7038,Surprise,Surprise,Surprise,1,1,1,3,1
1700487866802-0-3-1-0-0,train,1700487866802,3,1,0,0,Anger,1700487866802.png,Anger,0.3326,Anger,Anger,Anger,1,1,1,3,1
1700487868986-0-3-1-1-5,train,1700487868986,3,1,1,5,Sadness,1700487868986.png,Sadness,0.2862,Sadness,Sadness,Sadness,1,1,1,3,1
1700487871181-0-3-1-2-3,train,1700487871181,3,1,2,3,Happiness,1700487871181.png,Happiness,0.7857,Happiness,Happiness,Happiness,1,1,1,3,1
1700487879248-0-3-1-5-5,train,1700487879248,3,1,5,5,Sadness,1700487879248.png,Sadness,0.358,Sadness,Sadness,Sadness,1,1,1,3,1
1700487882143-0-3-1-6-3,train,1700487882143,3,1,6,3,Happiness,1700487882143.png,Happiness,0.7387,Happiness,Happiness,Happiness,1,1,1,3,1
1700487884247-0-3-1-7-5,train,1700487884247,3,1,7,5,Sadness,1700487884247.png,Sadness,0.2783,Sadness,Sadness,Anger,1,1,0,2,1
1700487887156-0-3-1-8-3,train,1700487887156,3,1,8,3,Happiness,1700487887156.png,Happiness,0.9521,Happiness,Happiness,Happiness,1,1,1,3,1
1700487951646-0-3-2-0-4,train,1700487951646,3,2,0,4,Neutral,1700487951646.png,Neutral,0.6616,Neutral,Neutral,Neutral,1,1,1,3,1
1700487957572-0-3-2-2-6,train,1700487957572,3,2,2,6,Surprise,1700487957572.png,Surprise,0.8642,Surprise,Surprise,Surprise,1,1,1,3,1
1700487960368-0-3-2-3-2,train,1700487960368,3,2,3,2,Fear,1700487960368.png,Fear,0.617,Fear,Fear,Fear,1,1,1,3,1
1700487963017-0-3-2-4-1,train,1700487963017,3,2,4,1,Disgust,1700487963017.png,Disgust,0.9218,Disgust,Disgust,Disgust,1,1,1,3,1
1700487970576-0-3-2-7-4,train,1700487970576,3,2,7,4,Neutral,1700487970576.png,Neutral,0.6448,Neutral,Neutral,Neutral,1,1,1,3,1
1700487972719-0-3-2-8-6,train,1700487972719,3,2,8,6,Surprise,1700487972719.png,Surprise,0.8429,Surprise,Surprise,Surprise,1,1,1,3,1
1700487975578-0-3-2-9-6,train,1700487975578,3,2,9,6,Surprise,1700487975578.png,Surprise,0.8164,Surprise,Fear,Surprise,1,0,1,2,1
1700487977854-0-3-2-10-2,train,1700487977854,3,2,10,2,Fear,1700487977854.png,Fear,0.066,Fear,Disgust,Fear,1,0,1,2,1
1700487979833-0-3-2-11-4,train,1700487979833,3,2,11,4,Neutral,1700487979833.png,Neutral,0.5556,Neutral,Neutral,Neutral,1,1,1,3,1
1700488074680-0-3-3-0-4,train,1700488074680,3,3,0,4,Neutral,1700488074680.png,Neutral,0.6636,Neutral,Neutral,Neutral,1,1,1,3,1
1700488080041-0-3-3-3-6,train,1700488080041,3,3,3,6,Surprise,1700488080041.png,Surprise,0.8211,Surprise,Surprise,Surprise,1,1,1,3,1
1700488081973-0-3-3-4-3,train,1700488081973,3,3,4,3,Happiness,1700488081973.png,Happiness,0.7062,Happiness,Neutral,Happiness,1,0,1,2,1
1700488086375-0-3-3-6-5,train,1700488086375,3,3,6,5,Sadness,1700488086375.png,Sadness,0.3329,Sadness,Sadness,Anger,1,1,0,2,1
1700488088436-0-3-3-7-5,train,1700488088436,3,3,7,5,Sadness,1700488088436.png,Sadness,0.2683,Sadness,Sadness,Sadness,1,1,1,3,1
1700488090511-0-3-3-8-0,train,1700488090511,3,3,8,0,Anger,1700488090511.png,Anger,0.312,Anger,Anger,Anger,1,1,1,3,1
1700488092770-0-3-3-9-1,train,1700488092770,3,3,9,1,Disgust,1700488092770.png,Disgust,0.8769,Fear,Disgust,Disgust,0,1,1,2,1
1700488095341-0-3-3-11-3,train,1700488095341,3,3,11,3,Happiness,1700488095341.png,Happiness,0.7862,Happiness,Neutral,Happiness,1,0,1,2,1
1700488097764-0-3-3-12-4,train,1700488097764,3,3,12,4,Neutral,1700488097764.png,Neutral,0.5665,Neutral,Happiness,Neutral,1,0,1,2,1
1700488099575-0-3-3-13-6,train,1700488099575,3,3,13,6,Surprise,1700488099575.png,Surprise,0.5179,Surprise,Surprise,Surprise,1,1,1,3,1
1700488102830-0-3-3-14-4,train,1700488102830,3,3,14,4,Neutral,1700488102830.png,Neutral,0.5481,Neutral,Neutral,Neutral,1,1,1,3,1
1700488106464-0-3-3-16-2,train,1700488106464,3,3,16,2,Fear,1700488106464.png,Fear,0.1465,Surprise,Fear,Fear,0,1,1,2,1
1700488108469-0-3-3-17-3,train,1700488108469,3,3,17,3,Happiness,1700488108469.png,Happiness,0.8116,Happiness,Happiness,Happiness,1,1,1,3,1
1700488111962-0-3-3-19-6,train,1700488111962,3,3,19,6,Surprise,1700488111962.png,Surprise,0.6849,Surprise,Surprise,Surprise,1,1,1,3,1
1700488114760-0-3-3-20-2,train,1700488114760,3,3,20,2,Fear,1700488114760.png,Fear,0.0747,Surprise,Fear,Fear,0,1,1,2,1
1700488251925-0-3-4-0-1,train,1700488251925,3,4,0,1,Disgust,1700488251925.png,Disgust,0.8266,Disgust,Anger,Disgust,1,0,1,2,1
1700488253631-0-3-4-1-5,train,1700488253631,3,4,1,5,Sadness,1700488253631.png,Sadness,0.3177,Sadness,Sadness,Anger,1,1,0,2,1
1700488255547-0-3-4-2-4,train,1700488255547,3,4,2,4,Neutral,1700488255547.png,Neutral,0.6303,Neutral,Neutral,Neutral,1,1,1,3,1
1700488256888-0-3-4-3-6,train,1700488256888,3,4,3,6,Surprise,1700488256888.png,Surprise,0.7205,Surprise,Surprise,Surprise,1,1,1,3,1
1700488259081-0-3-4-4-4,train,1700488259081,3,4,4,4,Neutral,1700488259081.png,Neutral,0.5934,Neutral,Neutral,Neutral,1,1,1,3,1
1700488260871-0-3-4-5-4,train,1700488260871,3,4,5,4,Neutral,1700488260871.png,Neutral,0.6393,Neutral,Neutral,Neutral,1,1,1,3,1
1700488271464-0-3-4-11-3,train,1700488271464,3,4,11,3,Happiness,1700488271464.png,Happiness,0.6702,Happiness,Happiness,Happiness,1,1,1,3,1
1700488273233-0-3-4-12-1,train,1700488273233,3,4,12,1,Disgust,1700488273233.png,Disgust,0.8216,Surprise,Disgust,Disgust,0,1,1,2,1
1700488274752-0-3-4-13-3,train,1700488274752,3,4,13,3,Happiness,1700488274752.png,Happiness,0.8244,Happiness,Happiness,Happiness,1,1,1,3,1
1700488281821-0-3-4-17-5,train,1700488281821,3,4,17,5,Sadness,1700488281821.png,Sadness,0.4788,Sadness,Sadness,Sadness,1,1,1,3,1
1700488283344-0-3-4-18-4,train,1700488283344,3,4,18,4,Neutral,1700488283344.png,Neutral,0.6382,Neutral,Neutral,Neutral,1,1,1,3,1
1700488285207-0-3-4-19-6,train,1700488285207,3,4,19,6,Surprise,1700488285207.png,Surprise,0.403,Surprise,Surprise,Surprise,1,1,1,3,1
1700488287195-0-3-4-20-5,train,1700488287195,3,4,20,5,Sadness,1700488287195.png,Sadness,0.3056,Sadness,Sadness,Sadness,1,1,1,3,1
1700488288826-0-3-4-21-6,train,1700488288826,3,4,21,6,Surprise,1700488288826.png,Surprise,0.815,Surprise,Surprise,Fear,1,1,0,2,1
1700488292404-0-3-4-23-2,train,1700488292404,3,4,23,2,Fear,1700488292404.png,Fear,0.0753,Fear,Fear,Fear,1,1,1,3,1
1700488293420-0-3-4-24-3,train,1700488293420,3,4,24,3,Happiness,1700488293420.png,Happiness,0.6483,Happiness,Happiness,Happiness,1,1,1,3,1
1700488299585-0-3-4-27-6,train,1700488299585,3,4,27,6,Surprise,1700488299585.png,Surprise,0.7003,Surprise,Surprise,Surprise,1,1,1,3,1
1700489636544-0-4-1-1-5,train,1700489636544,4,1,1,5,Sadness,1700489636544.png,Sadness,0.6656,Sadness,Sadness,Sadness,1,1,1,3,1
1700489639217-0-4-1-2-3,train,1700489639217,4,1,2,3,Happiness,1700489639217.png,Happiness,0.3251,Happiness,Happiness,Happiness,1,1,1,3,1
1700489641802-0-4-1-3-0,train,1700489641802,4,1,3,0,Anger,1700489641802.png,Anger,0.3115,Sadness,Anger,Anger,0,1,1,2,1
1700489647471-0-4-1-5-5,train,1700489647471,4,1,5,5,Sadness,1700489647471.png,Sadness,0.583,Sadness,Sadness,Sadness,1,1,1,3,1
1700489650155-0-4-1-6-3,train,1700489650155,4,1,6,3,Happiness,1700489650155.png,Happiness,0.6418,Happiness,Happiness,Happiness,1,1,1,3,1
1700489652694-0-4-1-7-5,train,1700489652694,4,1,7,5,Sadness,1700489652694.png,Sadness,0.4147,Sadness,Sadness,Sadness,1,1,1,3,1
1700489654363-0-4-1-8-3,train,1700489654363,4,1,8,3,Happiness,1700489654363.png,Happiness,0.6801,Happiness,Happiness,Happiness,1,1,1,3,1
1700489722123-0-4-2-0-4,train,1700489722123,4,2,0,4,Neutral,1700489722123.png,Neutral,0.4339,Neutral,Neutral,Neutral,1,1,1,3,1
1700489724732-0-4-2-1-1,train,1700489724732,4,2,1,1,Disgust,1700489724732.png,Disgust,0.7304,Disgust,Disgust,Disgust,1,1,1,3,1
1700489726643-0-4-2-2-6,train,1700489726643,4,2,2,6,Surprise,1700489726643.png,Surprise,0.5738,Surprise,Surprise,Surprise,1,1,1,3,1
1700489728898-0-4-2-3-2,train,1700489728898,4,2,3,2,Fear,1700489728898.png,Fear,0.0268,Neutral,Fear,Fear,0,1,1,2,1
1700489734119-0-4-2-5-1,train,1700489734119,4,2,5,1,Disgust,1700489734119.png,Disgust,0.75,Disgust,Disgust,Disgust,1,1,1,3,1
1700489738660-0-4-2-7-4,train,1700489738660,4,2,7,4,Neutral,1700489738660.png,Neutral,0.4061,Neutral,Neutral,Neutral,1,1,1,3,1
1700489742765-0-4-2-8-6,train,1700489742765,4,2,8,6,Surprise,1700489742765.png,Surprise,0.5916,Surprise,Surprise,Surprise,1,1,1,3,1
1700489744855-0-4-2-9-6,train,1700489744855,4,2,9,6,Surprise,1700489744855.png,Surprise,0.4108,Surprise,Surprise,Surprise,1,1,1,3,1
1700489747611-0-4-2-10-2,train,1700489747611,4,2,10,2,Fear,1700489747611.png,Fear,0.2239,Surprise,Fear,Fear,0,1,1,2,1
1700489749081-0-4-2-11-4,train,1700489749081,4,2,11,4,Neutral,1700489749081.png,Neutral,0.4632,Neutral,Neutral,Neutral,1,1,1,3,1
1700489855983-0-4-3-0-4,train,1700489855983,4,3,0,4,Neutral,1700489855983.png,Neutral,0.4489,Neutral,Neutral,Neutral,1,1,1,3,1
1700489858468-0-4-3-1-1,train,1700489858468,4,3,1,1,Disgust,1700489858468.png,Disgust,0.5151,Disgust,Disgust,Disgust,1,1,1,3,1
1700489860330-0-4-3-2-0,train,1700489860330,4,3,2,0,Anger,1700489860330.png,Anger,0.3451,Anger,Anger,Anger,1,1,1,3,1
1700489862366-0-4-3-3-6,train,1700489862366,4,3,3,6,Surprise,1700489862366.png,Surprise,0.6638,Surprise,Surprise,Surprise,1,1,1,3,1
1700489863634-0-4-3-4-3,train,1700489863634,4,3,4,3,Happiness,1700489863634.png,Happiness,0.6052,Happiness,Happiness,Happiness,1,1,1,3,1
1700489865682-0-4-3-5-2,train,1700489865682,4,3,5,2,Fear,1700489865682.png,Fear,0.0453,Surprise,Fear,Fear,0,1,1,2,1
1700489867325-0-4-3-6-5,train,1700489867325,4,3,6,5,Sadness,1700489867325.png,Sadness,0.5723,Sadness,Sadness,Sadness,1,1,1,3,1
1700489870288-0-4-3-7-5,train,1700489870288,4,3,7,5,Sadness,1700489870288.png,Sadness,0.4571,Sadness,Sadness,Sadness,1,1,1,3,1
1700489872365-0-4-3-8-0,train,1700489872365,4,3,8,0,Anger,1700489872365.png,Anger,0.4994,Anger,Anger,Anger,1,1,1,3,1
1700489873966-0-4-3-9-1,train,1700489873966,4,3,9,1,Disgust,1700489873966.png,Disgust,0.4072,Disgust,Disgust,Disgust,1,1,1,3,1
